Data	SuperPop	Population	Used	Ancestry	N
1KG	AFR	ACB	No		95
1KG	AFR	ASW	No		55
1KG	AFR	ESN	Yes	AFR	105
1KG	AFR	GWD	Yes	AFR	119
1KG	AFR	LWK	Yes	AFR	97
1KG	AFR	MSL	Yes	AFR	88
1KG	AFR	YRI	Yes	AFR	121
1KG	EUR	CEU	Yes	EUR	121
1KG	EUR	FIN	Yes	EUR	99
1KG	EUR	GBR	Yes	EUR	91
1KG	EUR	IBS	Yes	EUR	107
1KG	EUR	TSI	Yes	EUR	107
1KG	EAS	CDX	Yes	EAS	93
1KG	EAS	CHB	Yes	EAS	103
1KG	EAS	CHS	Yes	EAS	105
1KG	EAS	JPT	Yes	EAS	104
1KG	EAS	KHV	Yes	EAS	101
1KG	AMR	CLM	No		97
1KG	AMR	MXL	No		64
1KG	AMR	PEL	No		86
1KG	AMR	PUR	No		104
1KG	SAS	BEB	No		101
1KG	SAS	GIH	No		101
1KG	SAS	ITU	No		104
1KG	SAS	PJL	No		104
1KG	SAS	STU	No		101
HGDP	AFRICA	BantuKenya	Yes	AFR	11
HGDP	AFRICA	BantuSouthAfrica	Yes	AFR	8
HGDP	AFRICA	Biaka	Yes	AFR	22
HGDP	AFRICA	Mandenka	Yes	AFR	22
HGDP	AFRICA	Mbuti	Yes	AFR	13
HGDP	AFRICA	San	Yes	AFR	6
HGDP	AFRICA	Yoruba	Yes	AFR	22
HGDP	EUROPE	Adygei	Yes	EUR	16
HGDP	EUROPE	Basque	Yes	EUR	23
HGDP	EUROPE	BergamoItalian	Yes	EUR	12
HGDP	EUROPE	French	Yes	EUR	28
HGDP	EUROPE	Orcadian	Yes	EUR	15
HGDP	EUROPE	Russian	Yes	EUR	25
HGDP	EUROPE	Sardinian	Yes	EUR	28
HGDP	EUROPE	Tuscan	Yes	EUR	8
HGDP	EAST_ASIA	Cambodian	Yes	EAS	9
HGDP	EAST_ASIA	Dai	Yes	EAS	9
HGDP	EAST_ASIA	Daur	Yes	EAS	9
HGDP	EAST_ASIA	Han	Yes	EAS	33
HGDP	EAST_ASIA	Hezhen	Yes	EAS	9
HGDP	EAST_ASIA	Japanese	Yes	EAS	27
HGDP	EAST_ASIA	Lahu	Yes	EAS	8
HGDP	EAST_ASIA	Miao	Yes	EAS	10
HGDP	EAST_ASIA	Mongolian	Yes	EAS	9
HGDP	EAST_ASIA	Naxi	Yes	EAS	8
HGDP	EAST_ASIA	NorthernHan	Yes	EAS	10
HGDP	EAST_ASIA	Oroqen	Yes	EAS	9
HGDP	EAST_ASIA	She	Yes	EAS	10
HGDP	EAST_ASIA	Tu	Yes	EAS	10
HGDP	EAST_ASIA	Tujia	Yes	EAS	9
HGDP	EAST_ASIA	Xibo	Yes	EAS	9
HGDP	EAST_ASIA	Yakut	Yes	EAS	25
HGDP	EAST_ASIA	Yi	Yes	EAS	10
HGDP	AMERICA	Colombian	Yes	IAM	7
HGDP	AMERICA	Karitiana	Yes	IAM	12
HGDP	AMERICA	Maya	Yes	IAM	21
HGDP	AMERICA	Pima	Yes	IAM	13
HGDP	AMERICA	Surui	Yes	IAM	8
HGDP	MIDDLE_EAST	Bedouin	Yes	MEA	46
HGDP	MIDDLE_EAST	Druze	Yes	MEA	42
HGDP	MIDDLE_EAST	Mozabite	Yes	MEA	27
HGDP	MIDDLE_EAST	Palestinian	Yes	MEA	46
HGDP	OCEANIA	Bougainville	Yes	OCE	11
HGDP	OCEANIA	PapuanHighlands	Yes	OCE	9
HGDP	OCEANIA	PapuanSepik	Yes	OCE	8
HGDP	CENTRAL_SOUTH_ASIA	Balochi	No		24
HGDP	CENTRAL_SOUTH_ASIA	Brahui	No		25
HGDP	CENTRAL_SOUTH_ASIA	Burusho	No		24
HGDP	CENTRAL_SOUTH_ASIA	Hazara	No		19
HGDP	CENTRAL_SOUTH_ASIA	Kalash	No		22
HGDP	CENTRAL_SOUTH_ASIA	Makrani	No		25
HGDP	CENTRAL_SOUTH_ASIA	Pathan	No		24
HGDP	CENTRAL_SOUTH_ASIA	Sindhi	No		24
HGDP	CENTRAL_SOUTH_ASIA	Uygur	No		10
